Year,County,FIPS code,Patient Characteristic,Number of Discharges,Average Length of Stay (in days),"Rate of Discharges Per 100,000 Population","Age-Sex Adjusted Rate of Discharges per 100,000 Population",Aggregate Hospital Costs (in $),Average Hospital Costs per Stay (in $)
2011,US Total,,Overall,725494,4.4,233.5,*,5651112779,7789
2011,State Total,53,Overall,8467,3.8,124.9,*,73427035,8672
2011,Benton,53005,Overall,280,3.3,162.3,*,2214828,7910
2012,US Total,,Overall,671035,4.3,214.3,*,5299953635,7898
2012,State Total,53,Overall,7604,3.8,110.8,116.0,72253380,9502
2012,Benton,53005,Overall,241,3.5,133.4,141.4,1896760,7870
2013,US Total,,Overall,644744,4.3,204.8,*,5209906939,8081
2013,State Total,53,Overall,6918,3.8,99.5,98.1,62308380,9006
2013,Benton,53005,Overall,279,3.3,149.9,156.8,2095646,7511
2014,US Total,,Overall,589535,4.2,185.9,*,4748528721,8055
2014,State Total,53,Overall,5935,3.8,84.7,81.5,55330047,9323
2014,Benton,53005,Overall,229,3.3,123.1,123.9,2067180,9027
2016,US Total,,Overall,642289,4.2,199.2,*,5596612103,8714
2016,State Total,53,Overall,6669,4.0,92.8,87.0,69656448,10445
2016,Benton,53005,Overall,284,3.3,148.8,148.7,2606019,9176
2017,US Total,,Overall,760860,4.4,234.0,*,7056818924,9275
2017,State Total,53,Overall,8155,4.2,111.5,103.2,95441055,11704
2017,Benton,53005,Overall,395,3.6,202.7,196.6,3997785,10121
2018,US Total,,Overall,569645,4.2,174.5,*,5266050384,9244
2018,State Total,53,Overall,6034,4.1,81.0,73.7,72393367,11998
2018,Benton,53005,Overall,238,3.8,120.3,114.9,2628027,11042
2019,US Total,,Overall,535930,4.2,162.8,*,5270246683,9834
2019,State Total,53,Overall,5851,4.2,77.3,69.3,72988107,12475
2019,Benton,53005,Overall,281,4.1,139.1,129.7,3702624,13177
2020,US Total,,Overall,335745,4.1,101.6,*,3562685546,10611
2020,State Total,53,Overall,3751,4.3,48.7,42.9,53261613,14199
2020,Benton,53005,Overall,167,4.1,81.1,73.6,2503631,14992
