Year,County,FIPS code,Patient Characteristic,Number of Discharges,Average Length of Stay (in days),"Rate of Discharges Per 100,000 Population","Age-Sex Adjusted Rate of Discharges per 100,000 Population",Aggregate Hospital Costs (in $),Average Hospital Costs per Stay (in $)
2011,US Total,,Overall,1108384,5.1,356.8,*,10537289989,9507
2011,State Total,53,Overall,15546,4.3,229.3,*,155136510,9979
2011,Benton,53005,Overall,460,4.3,266.7,*,4289698,9325
2012,US Total,,Overall,1007410,5.0,321.8,*,9669657186,9599
2012,State Total,53,Overall,13437,4.4,195.8,206.9,148234264,11032
2012,Benton,53005,Overall,388,4.2,214.8,232.3,3591434,9256
2013,US Total,,Overall,960594,5.0,305.1,*,9532930240,9924
2013,State Total,53,Overall,12991,4.4,186.8,189.6,139168906,10713
2013,Benton,53005,Overall,325,4.2,174.6,182.1,3052904,9394
2014,US Total,,Overall,882735,4.9,278.3,*,8679040934,9832
2014,State Total,53,Overall,12052,4.3,172.0,172.7,130005784,10787
2014,Benton,53005,Overall,403,3.9,216.6,226.4,3562290,8839
2016,US Total,,Overall,803464,4.8,249.2,*,8166128646,10164
2016,State Total,53,Overall,11097,4.5,154.4,150.5,134334446,12106
2016,Benton,53005,Overall,340,3.4,178.2,183.1,3302304,9713
2017,US Total,,Overall,637180,4.6,196.0,*,6478171362,10167
2017,State Total,53,Overall,9044,4.3,123.7,120.6,106076439,11729
2017,Benton,53005,Overall,322,3.8,165.2,167.5,3291909,10223
2018,US Total,,Overall,740724,4.7,226.8,*,7753929284,10468
2018,State Total,53,Overall,9325,4.5,125.2,120.2,115020948,12335
2018,Benton,53005,Overall,306,3.8,154.7,153.9,3267411,10678
2019,US Total,,Overall,725079,4.7,220.2,*,7969190191,10991
2019,State Total,53,Overall,9233,4.6,121.9,116.1,123634617,13391
2019,Benton,53005,Overall,327,4.4,161.8,159.9,4001561,12237
2020,US Total,,Overall,560450,4.9,169.7,*,6803787745,12140
2020,State Total,53,Overall,7153,4.9,92.9,86.9,106111609,14834
2020,Benton,53005,Overall,249,4.5,121.0,115.6,2943533,11821
